번호,도로명우편번호,도로명전체주소,인허가일자,영업상태명,폐업일자,사업장명,좌표번호 x,좌표번호y
7246,34692,대전광역시 동구 대전로 446 (가오동),2016-04-18,영업/정상,,라온동물병원,36.30581855,127.4498163
7247,34608,"대전광역시 동구 동대전로 141 (자양동, 우송 제2교육원)",2016-10-20,영업/정상,,솔펫 동물병원,36.33477703,127.4430273
7248,,대전광역시 동구 용운로 117 (용운동),2001-10-25,영업/정상,,미래동물병원,36.32814332,127.4525009
7249,34609,대전광역시 동구 동대전로 115 (대동),1999-12-16,영업/정상,,하나로동물병원,36.33264471,127.4418002
7250,46269,"부산광역시 금정구 부곡로 184, 행복한빌딩 1,2층 (부곡동)",1991-10-09,영업/정상,,지동범 동물 안과 치과병원,35.23226672,129.0891092
7251,46305,부산광역시 금정구 부곡로 86 (부곡동),1994-07-05,영업/정상,,부곡동물병원,35.22349905,129.0883861
7252,46297,"부산광역시 금정구 식물원로 38, 주현빌딩 2층 (장전동)",2011-10-11,영업/정상,,금빛동물수술센터,35.22502862,129.0814815
7253,46328,부산광역시 금정구 서동로 200 (서동),1997-09-23,영업/정상,,한독동물병원,35.21401223,129.1051848
7254,46283,부산광역시 금정구 금강로 340 (장전동),1999-01-29,영업/정상,,수종합동물병원,35.23848434,129.0837145
7255,46221,부산광역시 금정구 금강로 703-3 (남산동),2000-06-14,영업/정상,,남산동물병원,35.27029871,129.0859705
7256,46229,부산광역시 금정구 금강로 578 (구서동),2001-06-09,영업/정상,,에이스종합동물병원,35.25910835,129.0849718
7257,46243,부산광역시 금정구 금강로 454 (구서동),2005-08-19,영업/정상,,구서동물병원,35.24806429,129.0858633
7258,46297,부산광역시 금정구 금강로 206-3 (장전동),2013-01-04,영업/정상,,순동물병원,35.22680967,129.0801856
7259,46276,부산광역시 금정구 수림로 25 (부곡동),2014-08-25,영업/정상,,동물병원 산책,35.23909239,129.0866012
7260,46231,부산광역시 금정구 금강로 539 (구서동),2015-03-06,영업/정상,,드림동물병원,35.25552822,129.0846701
7261,46321,"부산광역시 금정구 서동로175번길 11, 2층 (서동)",2015-04-17,영업/정상,,서동 동물메디컬센터,35.21490666,129.103428
7262,46253,부산광역시 금정구 중앙대로 1754 (부곡동),2015-04-27,영업/정상,,제일2차동물메디컬센터,35.24086158,129.0904074
7263,46253,부산광역시 금정구 중앙대로 1754 (부곡동),2015-04-27,영업/정상,,제일동물진단영상센터,35.24086158,129.0904074
7264,46233,"부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)",2015-08-28,영업/정상,,쿨펫동물병원 이마트금정점,35.25149888,129.0872566
7265,604-812,부산광역시 사하구 낙동대로 295-1 (괴정동),2003-03-26,영업/정상,,참조은 동물병원,35.09924082,128.9818371
7266,49493,부산광역시 사하구 윤공단로56번길 55 (다대동),2004-09-15,영업/정상,,장 동물병원,35.05883923,128.9672771
7267,49345,부산광역시 사하구 낙동대로 356 (당리동),1992-04-30,영업/정상,,사하동물병원,35.10154303,128.9759842
